データ番号,,ゲーマータグ,執行期間,処分の種類,,理由
1,,akki0606,2021年4月6日～無期,永久ＢＡＮ,,暴言（ぼうげん）
2,,BenignNote40775,2021年2月17日～無期,永久ＢＡＮ,,荒らし、他人の建築物の破壊
3,,Creeper12PRO,2021年5月11日～無期,永久ＢＡＮ,,数回に及ぶ軽度な荒らし
4,,CeasingOwl69749,2021年5月16日～6月19日,永久ＢＡＮ,,荒らしの疑い
5,,CeasingOwl69749,2021年7月21日～無期,永久ＢＡＮ（仮停止なし）,,度重なる荒らし、度重なる虚言（うそをついた）
6,,Glitch3912,2021年6月11日～無期,永久ＢＡＮ,,荒らし
7,,himesayu0102,2021年4月26日～4月30日,ワールド立ち入り制限,,軽度な荒らし
8,,hikia4079,2021年5月11日～無期,ワールド立ち入り制限,,数回に及ぶ悪ふざけ
9,,kirie0341,2021年4月1日～無期,永久ＢＡＮ,,荒らし、他人の建築物の破壊
10,,Qerusbyd,2021年6月28日～無期,永久ＢＡＮ（仮停止なし）,,荒らし
11,,RYOYUKIMI,2021年5月11日～無期,永久ＢＡＮ,,数回に及ぶ暴言など
12,,ugokunanasi3,2021年4月1日～無期,永久ＢＡＮ,,公然わいせつ
13,,UnaskedLemur378,2021年5月11日～無期,永久ＢＡＮ,,数回に及ぶ軽度な荒らし
14,,DarlingLynx596,2021年8月19日～無期,永久ＢＡＮ,,暴言
15,,hello 8917043,2021年8月19日～無期,永久ＢＡＮ,,暴言
16,,TK31493（としかみ）,(執行終了）,有期ＢＡＮ,,ワールドを重くするなどの行為
17,,VeiledFoot5054,2021年10月18日～無期,永久ＢＡＮ(仮停止なし),,重度の荒らし
18,,tomo3736（TOMO）,2021年10月18日～23日,5日間の有期ＢＡＮ,,鯖主への反抗、軽犯罪
19,,InsetTitan77777,2021年11月5日～無期,永久ＢＡＮ(仮停止なし),,複数回にわたる重度の荒らし
20,,kyoru9970,2021年12月28日～無期,永久ＢＡＮ(仮停止あり),,複数回にわたる暴言
21,,Asahi1232,2021年12月31日～無期,永久ＢＡＮ(仮停止あり),,複数回に軽度な荒らし
22,,SorryMonkey962(ゆうと鉄道ファン),2022年2月1日～無期,永久ＢＡＮ(仮停止あり),,複数回にわたる暴言など
